iter,nth,x,iter_converged,error,time_1,time_2,result
231,221,450,29,1.66893e-06,0.004,0.00294,1.02803
232,678,872,30,1.6205e-06,0.003,0.002935,1.01004
233,388,618,30,1.14739e-06,0.004,0.003013,1.0167
234,909,460,29,1.70618e-06,0.003,0.00289,1.00677
235,307,157,28,1.15484e-06,0.003,0.002925,1.01661
236,770,750,30,1.39326e-06,0.003,0.002906,1.00863
237,516,782,30,1.45286e-06,0.002,0.002925,1.01299
238,722,667,30,1.23866e-06,0.003,0.002983,1.00905
239,83,73,27,1.05798e-06,0.002,0.002963,1.05305
240,905,555,30,1.03004e-06,0.004,0.002852,1.00701
241,635,960,30,1.78441e-06,0.003,0.002902,1.01087
242,782,820,30,1.52364e-06,0.004,0.003,1.00862
243,984,169,28,1.24425e-06,0.003,0.002865,1.00523
244,827,794,30,1.47521e-06,0.003,0.002966,1.00811
245,434,415,29,1.53854e-06,0.004,0.003043,1.01399
247,593,202,28,1.49012e-06,0.003,0.002788,1.00899
248,927,511,29,1.89617e-06,0.002,0.002804,1.00675
249,550,73,27,1.05798e-06,0.003,0.002837,1.00783
250,54,913,30,1.69687e-06,0.002,0.003166,1.13455
251,382,378,29,1.40071e-06,0.002,0.002916,1.01566
252,768,542,30,1.00583e-06,0.002,0.002875,1.00823
253,411,493,29,1.82912e-06,0.003,0.002903,1.0152
254,813,142,28,1.04308e-06,0.003,0.002998,1.00611
255,195,239,28,1.76579e-06,0.003,0.003035,1.02848
256,779,993,30,1.84588e-06,0.003,0.002923,1.0089
257,37,595,30,1.10455e-06,0.004,0.00309,1.18847
258,730,151,28,1.11014e-06,0.003,0.002927,1.0069
259,673,457,29,1.69501e-06,0.002,0.002934,1.00914
260,62,141,28,1.03563e-06,0.003,0.002931,1.08309
261,231,482,29,1.78814e-06,0.01,0.011256,1.02711
262,39,246,28,1.81794e-06,0.002,0.002739,1.15161
263,953,862,30,1.60187e-06,0.003,0.002685,1.00712
264,507,671,30,1.24611e-06,0.002,0.002876,1.01292
265,340,916,30,1.70246e-06,0.002,0.002719,1.02026
266,91,594,30,1.10269e-06,0.004,0.002926,1.07271
267,218,778,30,1.44541e-06,0.003,0.002869,1.03101
268,638,838,30,1.55717e-06,0.002,0.002892,1.01061
269,763,763,30,1.41747e-06,0.004,0.00265,1.00874
270,215,594,30,1.10269e-06,0.004,0.002868,1.03015
271,380,356,29,1.31875e-06,0.003,0.002705,1.01558
272,535,188,28,1.38581e-06,0.002,0.002745,1.00984
273,618,513,29,1.90362e-06,0.003,0.002772,1.01015
274,541,990,30,1.84029e-06,0.002,0.002777,1.01283
275,296,97,27,1.41561e-06,0.003,0.002666,1.01558
276,40,862,30,1.60187e-06,0.004,0.0029,1.1841
277,126,808,30,1.50129e-06,0.003,0.002892,1.05457
278,997,825,30,1.53296e-06,0.004,0.002684,1.00676
279,400,995,30,1.84961e-06,0.002,0.002734,1.01741
280,185,256,28,1.89245e-06,0.002,0.002734,1.03043
281,224,231,28,1.70618e-06,0.003,0.002753,1.02459
282,280,731,30,1.35787e-06,0.003,0.002865,1.02383
283,744,83,27,1.20699e-06,0.002,0.002669,1.00596
284,561,908,30,1.68756e-06,0.004,0.002709,1.01222
285,933,436,29,1.61678e-06,0.004,0.002716,1.00654
286,913,446,29,1.65403e-06,0.002,0.002684,1.0067
287,824,11,24,1.07288e-06,0.003,0.002462,1.00291
288,112,648,30,1.20327e-06,0.004,0.002951,1.05951
289,417,995,30,1.84961e-06,0.003,0.002795,1.01669
290,713,33,25,1.84774e-06,0.002,0.002525,1.00492
291,674,909,30,1.68942e-06,0.003,0.002642,1.01016
292,853,321,29,1.18837e-06,0.002,0.002719,1.00679
293,601,167,28,1.22935e-06,0.003,0.002641,1.00855
294,757,117,27,1.71363e-06,0.003,0.002654,1.00631
295,654,434,29,1.60933e-06,0.003,0.002618,1.00933
296,116,114,27,1.66893e-06,0.002,0.002801,1.04167
297,882,991,30,1.84216e-06,0.002,0.002714,1.00785
298,671,313,29,1.15857e-06,0.004,0.002737,1.0086
299,471,693,30,1.28709e-06,0.002,0.002688,1.01398
300,136,57,26,1.63913e-06,0.003,0.002649,1.03017
301,536,117,27,1.71363e-06,0.003,0.002689,1.00892
302,273,292,29,1.08033e-06,0.002,0.002756,1.02101
303,220,89,27,1.2964e-06,0.002,0.002693,1.02061
304,193,802,30,1.49012e-06,0.004,0.00287,1.03526
305,906,12,24,1.19209e-06,0.002,0.002422,1.00275
306,623,315,29,1.16602e-06,0.002,0.002748,1.00928
307,646,565,30,1.04867e-06,0.003,0.002779,1.00986
308,816,813,30,1.51061e-06,0.003,0.002738,1.00825
